V,노선,연도,협약_대일,실측_대일,실현율_pct,밴드체계,플래그,출처요지,출처스크립트,ledger_version
V-001,인천공항고속도로,2004,146554,59780,40.8,LOO,체제=최초,NABO,backtest_case_incheon.py,v1_2026-07-31
V-001,인천공항고속도로,2005,119026,62831,52.8,LOO,체제=최초(협약 프로파일 자체 하향 단차),NABO,backtest_case_incheon.py,v1_2026-07-31
V-001,인천공항고속도로,2006,125322,65571,52.3,LOO,체제=최초,NABO,backtest_case_incheon.py,v1_2026-07-31
V-001,인천공항고속도로,2007,131965,68711,52.1,LOO,"체제=최초 — '08~'19 실측 공백('16 61.4% 보도는 참고, 채점 제외)",NABO,backtest_case_incheon.py,v1_2026-07-31
V-001,인천공항고속도로,2020,127136,68272,53.7,LOO,체제=최초,실측=CEPHIS API,backtest_case_incheon.py,v1_2026-07-31
V-001,인천공항고속도로,2021,127136,67439,53,LOO,"체제=최초·협약축 '21~'30=127,136 고정(코드 평탄 확장)",실측=CEPHIS API,backtest_case_incheon.py,v1_2026-07-31
V-001,인천공항고속도로,2022,127136,80996,63.7,LOO,"체제=최초·협약축 127,136 고정",실측=RR-25-10 표5-11,backtest_case_incheon.py,v1_2026-07-31
V-001,인천공항고속도로,2023,127136,106510,83.8,LOO,"체제=최초·협약축 127,136 고정",실측=RR-25-10 표5-11,backtest_case_incheon.py,v1_2026-07-31
V-001,인천공항고속도로,2024,127136,126089,99.2,LOO,"체제=최초·협약축 127,136 고정",실측=RR-25-10 표5-11,backtest_case_incheon.py,v1_2026-07-31
V-005,수도권1순환 퇴계원-일산,2022,135945,136219,100.2,LOO,체제=변경18(2018.3 변경협약 축),RR-25-10 표5-11 (변경협약 체제 구간),backtest_case_seoulbeltway.py,v1_2026-07-31
V-005,수도권1순환 퇴계원-일산,2023,137405,139678,101.7,LOO,체제=변경18(2018.3 변경협약 축),RR-25-10 표5-11 (변경협약 체제 구간),backtest_case_seoulbeltway.py,v1_2026-07-31
V-005,수도권1순환 퇴계원-일산,2024,138882,138057,99.4,LOO,체제=변경18(2018.3 변경협약 축),RR-25-10 표5-11 (변경협약 체제 구간),backtest_case_seoulbeltway.py,v1_2026-07-31
V-005,수도권1순환 퇴계원-일산,2021,,,101.8,LOO,✚비율만(절대값 미보유)·체제=변경18,현황보고서 실현율 101.8%,backtest_case_seoulbeltway.py,v1_2026-07-31
V-008,인천대교,2020,59840,43144,72.1,LOO,"협약 ✚보간('16 51,153→'22 64,608 CAGR 4.0%)·실측 ✚출처 재확인 권장",협약=보간 추정·실측=웹 수집(출처 재확인 대상),backtest_case_incheonbridge.py,v1_2026-07-31
V-008,인천대교,2022,64608,53154,82.3,LOO,"협약값 불일치 메모: 현황보고서 64,608 vs NABO 표8 64,908(+300, 변경협약 세대 추정)",RR-25-10 표5-11,backtest_case_incheonbridge.py,v1_2026-07-31
V-008,인천대교,2023,66590,67964,102.1,LOO,,RR-25-10 표5-11 — 2023.10 통행료 63% 인하 직후,backtest_case_incheonbridge.py,v1_2026-07-31
V-008,인천대교,2024,68317,74108,108.5,LOO,"미적중(상한 106.4% 초과) — 요금 63% 인하 효과, 첫 상단 밴드 실패",RR-25-10 표5-11,backtest_case_incheonbridge.py,v1_2026-07-31
V-008,인천대교,2019,,,97.5,LOO,✚비율만·✚단독출처,인천투데이 실현율 97.5%,backtest_case_incheonbridge.py,v1_2026-07-31
V-009,우면산터널,2004,52866,13886,26.3,초기군,개통 1년차 — 초기군 밴드(37~81%) 첫 실패(미적중),"협약 예측 52,866 vs 실측 13,886 (서울시·언론)",backtest_case_woomyunsan.py,v1_2026-07-31
V-009,우면산터널,2014,42988,27101,63,전체62,협약축 감소 곡선 — 기준 재확인 권장,"2015 국감 브리핑 — 표본 외 홀드아웃이라 loo==전체62. ACT_REF_2012(25,105)는 협약축 없어 채점 제외",backtest_case_woomyunsan.py,v1_2026-07-31
V-011,마창대교,2008,,,35.3,초기군,"비율만·census 보도 ✚ — 초기군 하한 37% 밖(미적중, 초기군 실패 2번째)",census 보도 비율,backtest_case_machang.py,v1_2026-07-31
V-011,마창대교,2010,,,47.3,초기군,비율만·census 보도 ✚ (3년차),census 보도 비율,backtest_case_machang.py,v1_2026-07-31
V-011,마창대교,2014,,,72.4,전체62,비율만·census 보도 ✚,census 보도 비율 — 표본 외 홀드아웃(loo==전체62 n=62),backtest_case_machang.py,v1_2026-07-31
V-011,마창대교,2015,,,86.5,전체62,비율만·census 보도 ✚,census 보도 비율,backtest_case_machang.py,v1_2026-07-31
V-011,마창대교,2021,,,89.4,전체62,비율만(1차 소스),경남도의회 제395회 본회의 회의록 — census '2017 이후 계획 초과' 반증,backtest_case_machang.py,v1_2026-07-31
V-012,미시령터널,2016,20158,15386,76.3,전체62,협약축=MRG 기준통행량 대용축 ✚(연도별 가변 여부 미확인)·실측='서울양양 개통 전 평균'으로 기술 ✚,"기준통행량 735만7,680대/년≈20,158대/일·실측 뉴시스",backtest_case_misiryeong.py,v1_2026-07-31
V-012,미시령터널,2019,20158,5802,28.8,전체62,협약축=MRG 기준통행량 대용축 ✚ — 서울양양 개통 붕괴(−62%)로 하단 미적중,"실측 뉴시스 5,802대/일 — 표본 외 홀드아웃(loo==전체62)",backtest_case_misiryeong.py,v1_2026-07-31
V-016,문학터널,2002,,,46,초기군,✚비율만(개통 직후 46% — 연도 귀속 근사),"문화대전: 개통 직후 20,268대=목표(50,210) 대비 46%",backtest_case_munhak.py,v1_2026-07-31
V-016,문학터널,2011,,,52.2,전체62,✚비율만(2011.10 시점치) — 하단(≈55%) 밖 미적중. 관찰 주석은 'LOO 밴드'로 표기하나 코드상 표본 외→전체62 prior,"언론: 2011.10 26,862대=52.2%",backtest_case_munhak.py,v1_2026-07-31
V-017,서수원-평택,2022,69693,81771,117.3,LOO,상단 미적중(LOO 상한 104% 밖),RR-25-10 표5-11 — 협약 초과 1위 노선,backtest_case_seosuwon.py,v1_2026-07-31
V-017,서수원-평택,2023,71181,81777,114.9,LOO,상단 미적중,RR-25-10 표5-11,backtest_case_seosuwon.py,v1_2026-07-31
V-017,서수원-평택,2024,72701,82573,113.6,LOO,상단 미적중,RR-25-10 표5-11,backtest_case_seosuwon.py,v1_2026-07-31
V-017,서수원-평택,2018,,,107,LOO,✚비율만·상단 미적중,정책브리핑 실현율 107.0%,backtest_case_seosuwon.py,v1_2026-07-31
V-017,서수원-평택,2021,,,113.1,LOO,✚비율만·상단 미적중,현황보고서 실현율 113.1% — 밴드 0/5 역대 최악(양방향 prior 근거). 표② 수입 REV 5개년은 밴드 채점 아님(제외),backtest_case_seosuwon.py,v1_2026-07-31
V-018,용인-서울,2022,114145,94030,82.4,LOO,,RR-25-10 표5-11,backtest_case_yongin.py,v1_2026-07-31
V-018,용인-서울,2023,115090,94621,82.2,LOO,,RR-25-10 표5-11,backtest_case_yongin.py,v1_2026-07-31
V-018,용인-서울,2024,116033,95299,82.1,LOO,,RR-25-10 표5-11,backtest_case_yongin.py,v1_2026-07-31
V-018,용인-서울,2018,,,87.5,LOO,✚비율만,정책브리핑 실현율 87.5% — 표② NABO 수입 REV 5개년은 밴드 채점 아님(제외),backtest_case_yongin.py,v1_2026-07-31
V-019,서수원-의왕,2013,,,100.2,초기군,비율만(1차 소스) — 개통 1년차 100.2% > 상한 81%: 초기군 상단 실패 첫 사례. 코드에 loo_prior 호출 없음(초기군 밴드 하드코딩),경기도의회 특위 회의록 — 개통 직후 2013.4 협약 대비 100.2%,backtest_case_uiwang.py,v1_2026-07-31
V-020,인천-김포,2022,69366,52386,75.5,LOO,,RR-25-10 표5-11,backtest_case_incheongimpo.py,v1_2026-07-31
V-020,인천-김포,2023,70304,53151,75.6,LOO,,RR-25-10 표5-11,backtest_case_incheongimpo.py,v1_2026-07-31
V-020,인천-김포,2024,71515,54641,76.4,LOO,,RR-25-10 표5-11 — 표② NABO 수입 REV '21~'25는 밴드 채점 아님(제외),backtest_case_incheongimpo.py,v1_2026-07-31
V-022,상주-영천,2022,45724,32600,71.3,LOO,요금 인하 이벤트 ✚ 잠정(로드맵 2단계 자금재조달 — 시행 시점 확정 시 가드레일 4 재채점),KOTI RR-25-10 표5-11 원표(TABLE_5_11) — 홀드아웃 1호·사전 등록 후 채점(가드레일 6),backtest_case_sangju.py,v1_2026-07-31
V-022,상주-영천,2023,46378,33246,71.7,LOO,요금 인하 이벤트 ✚ 잠정,KOTI RR-25-10 표5-11 원표,backtest_case_sangju.py,v1_2026-07-31
V-022,상주-영천,2024,47052,33933,72.1,LOO,요금 인하 이벤트 ✚ 잠정,KOTI RR-25-10 표5-11 원표 — LOO n=59(표5-11 표본 내),backtest_case_sangju.py,v1_2026-07-31
