panel_version,지표,단위,노선,원문표기,연도,협약,실측,실현율_pct,비고,출처
v1_2026-07-31,교통량,대/일,안양-성남,안양-성남,2023,128209,65642,51.2,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,안양-성남,안양-성남,2024,129619,92450,71.32,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,서울-문산,서울-문산,2022,45827,45426,99.12,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,서울-문산,서울-문산,2023,46193,47644,103.14,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,서울-문산,서울-문산,2024,46620,48942,104.98,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,봉담-송산,봉담-송산,2022,30782,25491,82.81,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,봉담-송산,봉담-송산,2023,39454,28972,73.43,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,봉담-송산,봉담-송산,2024,44231,31471,71.15,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,화성-광주,화성-광주,2022,24884,29845,119.94,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,화성-광주,화성-광주,2023,25394,32028,126.12,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,화성-광주,화성-광주,2024,35418,33573,94.79,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,포천-화도,포천-화도,2024,37971,20994,55.29,개통 초기(부분·램프업),KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,평택-부여,평택-부여,2024,48950,22455,45.87,개통 초기(부분·램프업),KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,수입,백만원,용인-서울,용인-서울,2021,70184,56678,80.76,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,용인-서울,용인-서울,2022,73460,54846,74.66,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,용인-서울,용인-서울,2023,77808,54365,69.87,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,용인-서울,용인-서울,2024,80920,54492,67.34,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,용인-서울,용인-서울,2025,85096,53206,62.52,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,인천대교,인천대교,2021,121910,74302,60.95,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,인천대교,인천대교,2022,129699,84355,65.04,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,인천대교,인천대교,2023,139733,126931,90.84,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,인천대교,인천대교,2024,148314,143414,96.7,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,인천대교,인천대교,2025,154682,144598,93.48,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,서수원-평택,서수원-평택,2021,98706,100705,102.03,초과(손실 음수),NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,서수원-평택,서수원-평택,2022,100816,105081,104.23,초과(손실 음수),NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,서수원-평택,서수원-평택,2023,108683,107119,98.56,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,서수원-평택,서수원-평택,2024,112913,107988,95.64,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,서수원-평택,서수원-평택,2025,115322,108147,93.78,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,평택-시흥,평택-시흥,2021,79088,69070,87.33,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,평택-시흥,평택-시흥,2022,79905,68026,85.13,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,평택-시흥,평택-시흥,2023,80806,68597,84.89,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,평택-시흥,평택-시흥,2024,86728,70239,80.99,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,평택-시흥,평택-시흥,2025,87734,68277,77.82,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,수원-광명,수원-광명,2021,82297,63510,77.17,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,수원-광명,수원-광명,2022,82528,64808,78.53,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,수원-광명,수원-광명,2023,82759,65937,79.67,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,수원-광명,수원-광명,2024,82805,66157,79.89,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,수원-광명,수원-광명,2025,83221,63716,76.56,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,광주-원주,광주-원주,2021,90955,61722,67.86,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,광주-원주,광주-원주,2022,93967,63565,67.65,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,광주-원주,광주-원주,2023,97072,62030,63.9,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,광주-원주,광주-원주,2024,100272,63537,63.36,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,광주-원주,광주-원주,2025,103575,63456,61.27,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,부산신항제2배후,부산항신항,2021,26440,13972,52.84,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,부산신항제2배후,부산항신항,2022,30751,14338,46.63,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,부산신항제2배후,부산항신항,2023,36583,15165,41.45,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,부산신항제2배후,부산항신항,2024,43252,14133,32.68,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,부산신항제2배후,부산항신항,2025,44401,13463,30.32,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,인천-김포,인천-김포,2021,85028,57097,67.15,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,인천-김포,인천-김포,2022,88738,56669,63.86,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,인천-김포,인천-김포,2023,91403,57368,62.76,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,인천-김포,인천-김포,2024,95760,59332,61.96,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,인천-김포,인천-김포,2025,99471,57937,58.25,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,상주-영천,상주-영천,2021,108155,70650,65.32,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,상주-영천,상주-영천,2022,113720,73873,64.96,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,상주-영천,상주-영천,2023,121156,72768,60.06,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,상주-영천,상주-영천,2024,126801,75717,59.71,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,상주-영천,상주-영천,2025,131175,77615,59.17,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,구리-포천,구리-포천,2021,102087,90778,88.92,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,구리-포천,구리-포천,2022,108554,91128,83.95,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,구리-포천,구리-포천,2023,116654,94418,80.94,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,구리-포천,구리-포천,2024,123144,101197,82.18,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,구리-포천,구리-포천,2025,128541,116725,90.81,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,안양-성남,안양-성남,2021,51861,42750,82.43,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,안양-성남,안양-성남,2022,60708,42577,70.13,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,안양-성남,안양-성남,2023,57547,31593,54.9,이례 저점(원인 확인 필요),NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,안양-성남,안양-성남,2024,57966,44247,76.33,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,안양-성남,안양-성남,2025,58386,45917,78.64,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,옥산-오창,옥산-오창,2021,13751,4596,33.42,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,옥산-오창,옥산-오창,2022,15543,4795,30.85,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,옥산-오창,옥산-오창,2023,17919,5272,29.42,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,옥산-오창,옥산-오창,2024,20462,5857,28.62,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,옥산-오창,옥산-오창,2025,23277,5820,25.0,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,서울-문산,서울-문산,2021,58827,48162,81.87,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,서울-문산,서울-문산,2022,61552,56116,91.17,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,서울-문산,서울-문산,2023,65185,58184,89.26,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,서울-문산,서울-문산,2024,66780,59971,89.8,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,서울-문산,서울-문산,2025,68466,57620,84.16,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,봉담-송산,봉담-송산,2021,19595,13015,66.42,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,봉담-송산,봉담-송산,2022,30106,22136,73.53,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,봉담-송산,봉담-송산,2023,39065,25035,64.09,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,봉담-송산,봉담-송산,2024,44526,27244,61.19,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,봉담-송산,봉담-송산,2025,46698,25930,55.53,,NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,화성-광주,화성-광주,2022,25168,27685,110.0,초과(손실 음수),NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,화성-광주,화성-광주,2023,41258,45384,110.0,초과(손실 음수),NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,화성-광주,화성-광주,2024,51077,56185,110.0,초과(손실 음수),NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,화성-광주,화성-광주,2025,56492,61567,108.98,초과(손실 음수),NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,포천-화도,포천-화도,2024,39014,22339,57.26,개통 초기(부분·램프업),NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,포천-화도,포천-화도,2025,46101,26411,57.29,개통 초기(부분·램프업),NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,평택-부여,평택-부여,2024,8628,3233,37.47,개통 초기(부분·램프업),NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
v1_2026-07-31,수입,백만원,평택-부여,평택-부여,2025,143650,73593,51.23,개통 초기(부분·램프업),NABO 2025결산 국토교통위 분석 p.136~137(원문 PDF 추출 '26-07-31)
